,Gene score,MMR,Other literature
mrna: WSB1,0.0014780403125697573,False,False
mrna: JPH1,0.0014826156662072335,False,False
mrna: RRM2B,0.0014858661690647778,False,False
mrna: ADGRG1,0.0014871450552455887,False,False
mrna: POGLUT3,0.0014872538488792928,False,False
mrna: CDK7,0.0014877804462737542,False,False
mrna: PTOV1,0.0014881749893795664,False,False
mrna: USO1,0.0014904140266081387,False,False
mrna: LGR6,0.0014962142268145433,False,False
mrna: ERO1A,0.0014977732656659016,False,False
mrna: HOXA11,0.0015008584265443162,False,True
mrna: ARFIP1,0.0015023673897234372,False,False
mrna: NFYB,0.001503651657919311,False,False
mrna: BLVRA,0.0015078225492967754,False,False
mrna: PMS2,0.0015112274342655824,True,False
mrna: SOD2,0.0015135030738635867,False,True
mrna: SMS,0.0015155585505172886,False,False
mrna: MCAM,0.0015198903958284055,False,False
mrna: PCMTD1,0.0015204663703666512,False,False
mrna: CDK13,0.0015205037997306607,False,False
mrna: ANAPC4,0.0015205608672091671,False,False
mrna: LRRFIP1,0.0015209061420693097,False,False
mrna: DBN1,0.0015226517337900527,False,False
mrna: OSMR,0.0015271492137045452,False,False
mrna: LTA4H,0.001533556954367823,False,False
mrna: MSRB3,0.0015433504957761898,False,False
mrna: SUN1,0.0015441262768489557,False,False
mrna: TUBB2B,0.001548501543623859,False,False
mrna: HIBADH,0.0015526843317382158,False,False
mrna: DNAJC3,0.0015561160081100662,False,False
mrna: LIMS2,0.0015572877308190508,False,False
mrna: CLK1,0.0015584794295849765,False,True
muts: FIP1L1,0.0015605097168378912,False,False
mrna: SH3D21,0.0015611876027829237,False,False
mrna: NADSYN1,0.001563124079155235,False,False
mrna: OTUD4,0.001564712799680774,False,True
mrna: MCFD2,0.0015661122547348252,False,False
mrna: NRP2,0.001573880961218616,False,False
mrna: MANBA,0.0015745786792512682,False,False
mrna: TMSB4Y,0.0015767589300789238,False,False
mrna: AVL9,0.0015783949357125935,False,False
mrna: CD200,0.001581586056670882,False,False
mrna: INSIG2,0.001582800137363834,False,False
mrna: NFE2L3,0.001584549456834795,False,False
muts: KEAP1,0.00158797484999293,False,True
mrna: SPTY2D1,0.0015913147418957555,False,False
mrna: VPS13C,0.0015934795204049844,False,False
mrna: IDH3G,0.0015936912030064003,False,False
mrna: SH3BP5L,0.0015957909131844685,False,False
mrna: ADAM10,0.001599346180123919,False,False
mrna: UNC5CL,0.0016044895798533,False,False
mrna: PERP,0.0016045043258563207,False,False
mrna: TMCO4,0.00160701715991143,False,False
mrna: GUCY1A1,0.0016133438373984663,False,False
muts: RASA1,0.0016150039750899572,False,False
mrna: PTPN12,0.0016289015344715537,False,False
mrna: DYNC1H1,0.0016340243751506933,False,False
mrna: CD44,0.001637651636379313,False,False
mrna: NPC1L1,0.0016454180084346417,False,False
mrna: C1GALT1,0.0016752008343340861,False,False
mrna: LSM8,0.001692219434259086,False,False
mrna: RALA,0.0016930673169675587,False,False
mrna: AFTPH,0.0017075629010385419,False,False
mrna: RASA1,0.0017076456044518302,False,False
mrna: LMAN1,0.001718148309503115,False,False
mrna: TOMM7,0.0017237327051412062,False,False
mrna: C1RL,0.0017278192915196494,False,True
mrna: BACE2,0.0017298145885598416,False,False
mrna: TNFRSF11B,0.0017302946560902573,False,True
mrna: GORASP2,0.0017441534492710867,False,False
mrna: DNAJC10,0.001748671272898296,False,False
mrna: EHBP1,0.0017663694186159315,False,False
mrna: TRIM28,0.0017668347861700064,False,False
mrna: BIRC3,0.001767382748850527,False,True
mrna: TMED4,0.0017748012802221488,False,False
mrna: AHSA2P,0.0017822841775701316,False,False
mrna: CDC42EP1,0.0017926664538970008,False,False
mrna: SCYL2,0.0017977881597881404,False,False
muts: FANCI,0.0018089606738417427,False,True
mrna: DDA1,0.0018095726494663158,False,False
mrna: MICALL2,0.0018103209809236034,False,False
mrna: ZFC3H1,0.0018123409003994997,False,False
mrna: KRT7,0.001812466114800023,False,False
mrna: SEL1L3,0.001814705723947894,False,False
mrna: FAM110C,0.0018189470642404173,False,False
mrna: LRP3,0.001820000636809654,False,False
mrna: TMEM167B,0.0018246379106190273,False,False
mrna: PPP2R1A,0.0018391229753470725,False,False
muts: HSP90AA1,0.0018539086536704609,False,False
muts: MLH1,0.0018594626103908415,True,False
mrna: TMX3,0.001878889667750942,False,False
mrna: RASA2,0.001891055024896284,False,False
mrna: HIRA,0.0018918733452401538,False,False
muts: SETDB1,0.001931334656448989,False,False
mrna: HMGCL,0.0019361911676648441,False,False
mrna: ARMC6,0.0019633807135359537,False,False
muts: ZNF814,0.0020006845852414018,False,False
mrna: EEA1,0.0020845115076569922,False,True
muts: NCOR1,0.00222677206931723,False,False
mrna: CARNMT1,0.002400444948917712,False,False
